"","inflation_2019","player_name","salary","TEAM","AGE","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","Tax"
"141",2.5,"Boban Marjanovic",9490740,"LAC","30","7'3""","290","None","Serbia","Undrafted","Undrafted","Undrafted","3.7","player_2019","C",21,6,11.5,2.9,4.6,0.629,0,0,0,2.9,4.6,0.635,0.629,2.5,3.1,0.8,1.9,3.1,5,0.6,0.3,0.7,1,1.8,8.3,"12.30%"
"142",2.5,"Josh Richardson",9367200,"MIA","25","6'6","200","Tennessee","USA","2015","2","40","3.4","player_2019","SG",25,25,35,6.5,16,0.405,2.7,6.7,0.401,3.8,9.3,0.408,0.489,3.2,3.7,0.849,0.9,3,3.9,3.4,1.2,0.6,2,3.2,18.8,"0%"
"143",2.5,"Norman Powell",9367200,"TOR","25","6'4""","215","UCLA","USA","2015","2","46","-0.6","player_2019","SG",11,2,14.9,1.8,3.8,0.476,0.8,2,0.409,1,1.8,0.55,0.583,0.5,0.7,0.75,0.2,1.8,2,0.9,0.5,0.1,0.7,1.5,5,"13.60%"
"144",2.5,"Bogdan Bogdanovic",9e+06,"SAC","26","6'6","205","None","Serbia","2014","1","27","3.7","player_2019","SG",15,2,26.5,5.5,12.6,0.439,2.1,5.7,0.372,3.4,6.9,0.495,0.524,1.9,2.3,0.853,0.5,2.9,3.3,3.5,0.9,0.1,1.1,2.2,15.1,"12.30%"
"145",2.5,"Rajon Rondo",9e+06,"LAL","32","6'1""","186","Kentucky","USA","2006","1","21","0.8","player_2019","PG",11,2,25.3,3.6,8,0.455,0.8,1.9,0.429,2.8,6.1,0.463,0.506,0.4,0.7,0.5,0.9,3.6,4.5,6.5,1.2,0,2.3,2.3,8.5,"12.30%"
"146",2.5,"E'Twaun Moore",8808685,"NOP","29","6'4""","191","Purdue","USA","2011","2","55","2.9","player_2019","SF",27,24,29.8,5.7,11.3,0.508,1.4,3.4,0.424,4.3,7.9,0.545,0.572,1.1,1.5,0.707,0.9,1.6,2.4,2.1,0.7,0.2,1.3,2.6,14,"6%"
"147",2.5,"Kosta Koufos",8739500,"SAC","29","7'0""","245","Ohio State","USA","2008","1","23","5","player_2019","C",12,0,15,1.9,4,0.479,0,0,NA,1.9,4,0.479,0.479,0.1,0.2,0.5,1.1,4.3,5.4,1,0.7,0.5,0.6,1.8,3.9,"12.30%"
"148",2.5,"Fred VanVleet",8653847,"TOR","24","6'0""","195","Wichita State","USA","Undrafted","Undrafted","Undrafted","4.5","player_2019","PG",25,4,24.2,3.4,8.3,0.411,1.4,4,0.347,2,4.2,0.472,0.495,1,1.4,0.765,0.4,1.9,2.3,4.4,0.9,0.1,1.3,1.6,9.2,"13.60%"
"149",2.5,"Kyle Anderson",8641000,"MEM","25","6'9""","230","UCLA","USA","2014","1","30","-0.6","player_2019","SF",26,23,29.9,3,6.1,0.487,0.2,0.7,0.294,2.8,5.4,0.511,0.503,0.7,1.2,0.531,1.2,5,6.3,3.2,1.2,0.8,1.2,2.5,6.8,"0%"
"150",2.5,"Julius Randle",8641000,"NOP","24","6'9""","250","Kentucky","USA","2014","1","7","0.7","player_2019","C",29,9,27.4,7.1,12.8,0.555,0.6,1.8,0.327,6.5,11,0.592,0.578,4.4,6.2,0.713,2.5,6.9,9.4,2.8,0.6,0.6,2.5,3.3,19.2,"6%"
"151",2.5,"Markieff Morris",8600000,"WAS","29","6'10""","245","Kansas","USA","2011","1","13","-8.1","player_2019","PF",26,15,26.2,4.3,9.8,0.435,1.5,4.5,0.345,2.7,5.3,0.511,0.514,1.5,1.8,0.813,1.2,4.1,5.3,1.8,0.8,0.7,1.3,3.2,11.6,"8.95%"
"152",2.5,"Jerryd Bayless",8575916,"MIN","30","6'3""","200","Arizona","USA","2008","1","11","-24.3","player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.85%"
