"","name","salary","team","height(ft)","weight(lb)","school","country","draft_year","draft_round","draft_number","+/-","player_year","position","age","games","started","mins/game","field_goal","field_goal_attempt","3_game","3_att","2_game","2_att","freethrows","free_throw_attempt","o_rebound","d_rebound","t_rebound","assist","steal","block","turnover","fouls","ppg","infl","mvp","mip","6_man","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","fg_per","two_per","efg","three_per","free_per"
"43","Ryan Anderson","20421546","PHX","6'10""","240","California","USA","2008","1","21"," -15.0","2019","PF","30","15"," 8","  18.5","  1.3","  4.0","  0.5","  2.3","  0.8","  1.7","  0.7","  0.9"," 0.9","  2.1","  3.0","  1.1"," 0.2"," 0.1","  0.8","  1.5","  3.7"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.325000000000","0.470588235294","0.387500000000","0.217391304348","0.77777777778"
"44","Joakim Noah","20261172","MEM","6'11""","230","Florida","USA","2007","1","9"," -10.1","2019","C","33"," 4"," 0","  16.8","  2.8","  5.8","  0.0","  0.0","  2.8","  5.8","  1.3","  2.0"," 1.3","  3.0","  4.3","  1.0"," 0.5"," 1.0","  2.0","  2.5","  6.8"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.482758620690","0.482758620690","0.482758620690","           NaN","0.65000000000"
"45","Kyrie Irving","20099189","BOS","6'3""","193","Duke","Australia","2011","1","1","   9.4","2019","PG","26","24","24","  31.7","  8.4"," 17.3","  2.6","  6.6","  5.8"," 10.8","  2.4","  3.0"," 1.2","  3.5","  4.7","  6.4"," 1.6"," 0.5","  2.5","  2.5"," 21.8"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.485549132948","0.537037037037","0.560693641618","0.393939393939","0.80000000000"
"46","Jabari Parker","20000000","CHI","6'8""","245","Duke","USA","2014","1","2"," -11.0","2019","PF","23","28","17","  31.0","  6.3"," 13.8","  1.0","  3.3","  5.3"," 10.5","  2.3","  3.1"," 1.2","  5.9","  7.1","  2.3"," 0.6"," 0.4","  2.7","  2.4"," 15.8"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.456521739130","0.504761904762","0.492753623188","0.303030303030","0.74193548387"
"47","Jimmy Butler","19841627","PHI","6'8""","232","Marquette","USA","2011","1","30","   1.2","2019","SG","29","23","23","  33.7","  7.3"," 15.1","  1.5","  3.8","  5.7"," 11.3","  4.4","  5.3"," 1.9","  3.3","  5.2","  3.5"," 2.1"," 0.8","  1.5","  1.9"," 20.4"," 2.5","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","0.483443708609","0.504424778761","0.533112582781","0.394736842105","0.83018867925"
"48","Zach LaVine","19500000","CHI","6'5""","200","UCLA","USA","2014","1","13","  -9.0","2019","SG","23","27","27","  35.1","  8.4"," 18.7","  1.7","  5.2","  6.7"," 13.5","  5.4","  6.1"," 0.4","  4.5","  4.9","  4.8"," 1.0"," 0.6","  4.0","  2.2"," 23.8"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.449197860963","0.496296296296","0.494652406417","0.326923076923","0.88524590164"
"49","Allen Crabbe","19332500","BKN","6'5""","212","California","USA","2013","2","31","  -1.3","2019","SG","26","27","14","  26.0","  3.0","  8.8","  2.3","  5.9","  0.7","  2.9","  0.9","  1.1"," 0.4","  3.0","  3.4","  1.1"," 0.6"," 0.3","  1.2","  2.5","  9.1"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.340909090909","0.241379310345","0.471590909091","0.389830508475","0.81818181818"
"50","Tyler Johnson","19245370","MIA","6'4""","190","Fresno State","USA","Undrafted","Undrafted","Undrafted","  -2.2","2019","PG","26","19"," 1","  25.1","  4.0","  8.9","  1.4","  3.8","  2.6","  5.1","  1.5","  2.1"," 0.5","  2.6","  3.1","  2.2"," 0.9"," 0.6","  1.4","  1.8"," 10.9"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.449438202247","0.509803921569","0.528089887640","0.368421052632","0.71428571429"
"51","John Wall","19169800","WAS","6'4""","210","Kentucky","USA","2010","1","1","  -5.7","2019","PG","28","25","25","  34.2","  7.5"," 17.1","  1.6","  5.0","  5.9"," 12.1","  3.9","  5.8"," 0.5","  3.0","  3.5","  8.3"," 1.6"," 1.0","  3.4","  2.3"," 20.4"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.438596491228","0.487603305785","0.485380116959","0.320000000000","0.67241379310"
"52","Jeff Teague","19000000","MIN","6'2""","195","Wake Forest","USA","2009","1","19","   0.4","2019","PG","30","21","21","  31.4","  3.8","  9.7","  0.9","  2.7","  2.9","  7.0","  3.1","  3.6"," 0.3","  2.1","  2.4","  8.0"," 1.1"," 0.5","  2.4","  2.3"," 11.7"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.391752577320","0.414285714286","0.438144329897","0.333333333333","0.86111111111"
"53","George Hill","19000000","MIL","6'3""","188","Indiana Purdue-Indianapolis","USA","2008","1","26","  -2.0","2019","PG","32","14","13","  25.5","  4.0","  7.9","  0.9","  2.1","  3.1","  5.8","  1.2","  1.5"," 0.9","  1.2","  2.1","  2.7"," 0.9"," 0.1","  1.4","  2.6"," 10.1"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.506329113924","0.534482758621","0.563291139241","0.428571428571","0.80000000000"
"54","Klay Thompson","18988725","GSW","6'7""","215","Washington State","USA","2011","1","11","   2.5","2019","SG","28","28","28","  34.6","  8.9"," 19.7","  2.8","  7.8","  6.1"," 11.9","  2.0","  2.5"," 0.3","  3.7","  4.0","  1.9"," 1.0"," 0.7","  2.1","  1.9"," 22.7"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.451776649746","0.512605042017","0.522842639594","0.358974358974","0.80000000000"
"55","Enes Kanter","18622514","NYK","6'11""","250","Kentucky","Turkey","2011","1","3","  -8.7","2019","C","26","28","16","  26.9","  6.2"," 11.2","  0.1","  0.4","  6.1"," 10.8","  2.4","  3.0"," 4.3","  7.3"," 11.5","  2.0"," 0.4"," 0.5","  2.0","  2.7"," 14.9"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.553571428571","0.564814814815","0.558035714286","0.250000000000","0.80000000000"
